City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Geraldton,2,AU,1616494901,64,-28.7667,114.6,71.6,21.85
Waipawa,100,NZ,1616494902,88,-41.4122,175.5153,55.4,1.14
Ushuaia,90,AR,1616494808,87,-54.8,-68.3,44.6,5.5
Hithadhoo,10,MV,1616494903,68,-0.6,73.0833,83.77,7.49
Belmonte,20,BR,1616494904,94,-15.8631,-38.8828,73.4,4.61
Rikitea,8,PF,1616494905,74,-23.1203,-134.9692,79.32,9.84
Koumac,98,NC,1616494905,75,-20.5667,164.2833,77.38,3.36
Fairbanks,90,US,1616494906,52,64.8378,-147.7164,14.0,4.61
Purpe,98,RU,1616494907,86,64.4803,76.6897,22.14,15.97
Kalmunai,59,LK,1616494908,68,7.4167,81.8167,84.7,9.95
Vaini,75,TO,1616494908,94,-21.2,-175.2,75.2,1.14
Nikolskoye,0,RU,1616494909,32,59.7035,30.7861,37.4,8.95
Sergeevka,52,KZ,1616494910,86,53.88,67.4158,23.45,6.31
Albany,46,US,1616494911,73,42.6001,-73.9662,37.0,1.63
Hilo,75,US,1616494858,88,19.7297,-155.09,66.2,4.61
Chegdomyn,16,RU,1616494912,73,51.1167,133.0167,13.26,7.18
Inuvik,6,CA,1616494913,65,68.3499,-133.7218,-4.0,10.36
Busselton,6,AU,1616494914,75,-33.65,115.3333,60.01,1.99
Buin,0,CL,1616494915,76,-33.7333,-70.75,60.01,1.28
Thompson,1,CA,1616494841,64,55.7435,-97.8558,-7.6,5.75
Mariehamn,0,AX,1616494916,50,60.0973,19.9348,50.0,8.05
Salinópolis,77,BR,1616494917,86,-0.6136,-47.3561,76.78,4.29
Itoman,20,JP,1616494919,52,26.1247,127.6694,64.4,10.36
Mount Isa,40,AU,1616494920,83,-20.7333,139.5,77.0,9.22
Esperance,75,AU,1616494920,59,-33.8667,121.9,60.8,8.05
Lithakia,75,GR,1616494644,58,37.7167,20.8333,55.4,5.75
Guiratinga,100,BR,1616494922,90,-16.3494,-53.7583,69.19,3.47
Lady Frere,0,ZA,1616494923,22,-31.7031,27.2329,79.12,7.76
Mataura,96,NZ,1616494924,97,-46.1927,168.8643,55.0,1.01
Nur-Sultan,90,KZ,1616494924,93,51.1801,71.446,21.2,26.84
Wukari,95,NG,1616494768,50,7.85,9.7833,87.6,7.23
Samarai,83,PG,1616494926,76,-10.6167,150.6667,83.08,7.65
Raudeberg,100,NO,1616494926,85,61.9875,5.1352,48.99,26.08
Barrow,1,US,1616494927,71,71.2906,-156.7887,1.4,12.66
Kapaa,90,US,1616494928,78,22.0752,-159.319,73.4,11.5
Sitka,90,US,1616494929,87,57.0531,-135.33,37.4,11.5
Lorengau,100,PG,1616494929,80,-2.0226,147.2712,79.97,7.27
Avarua,20,CK,1616494931,89,-21.2078,-159.775,78.8,6.91
Bluff,100,NZ,1616494932,97,-46.6,168.3333,55.0,1.01
Kropotkin,100,RU,1616494933,89,45.4375,40.5756,48.0,17.87
Saskylakh,16,RU,1616494934,96,71.9167,114.0833,-27.54,4.92
Luau,29,AO,1616494934,57,-10.7073,22.2247,80.4,3.58
Lebu,12,CL,1616494935,87,-37.6167,-73.65,51.8,7.36
Pointe Michel,20,DM,1616494936,94,15.25,-61.3833,69.8,2.3
Butaritari,48,KI,1616494937,80,3.0707,172.7902,81.95,21.47
Cheyenne,1,US,1616494705,80,41.14,-104.8203,28.4,12.66
Soyo,40,AO,1616494938,79,-6.1349,12.3689,86.0,6.91
Klaksvík,75,FO,1616494939,100,62.2266,-6.589,46.4,13.8
Lagoa,100,PT,1616494939,58,39.05,-27.9833,55.13,16.24
Sur,0,OM,1616494940,33,22.5667,59.5289,88.9,7.83
Barcelona,20,ES,1616494941,55,41.3888,2.159,60.01,6.91
Yashkino,75,RU,1616494942,64,55.8736,85.4265,32.0,8.95
Pangnirtung,85,CA,1616494942,93,66.1451,-65.7125,-30.44,4.83
Jasper,1,US,1616494943,87,37.2001,-94.3502,53.01,11.5
Puerto Palomas,1,MX,1616494945,30,31.7667,-107.6167,35.6,5.75
Concarneau,90,FR,1616494946,76,47.875,-3.9225,48.2,10.36
Mossendjo,100,CG,1616494946,58,-2.9506,12.7261,82.65,3.13
Tasiilaq,75,GL,1616494947,67,65.6145,-37.6368,15.8,21.85
Clyde River,75,CA,1616494948,63,70.4692,-68.5914,-18.4,18.41
Kota Belud,20,MY,1616494949,74,6.351,116.4305,86.0,2.82
Atuona,2,PF,1616494949,73,-9.8,-139.0333,80.47,19.3
Yuanping,93,CN,1616494950,47,38.7153,112.7575,53.71,5.79
Ponto Novo,70,BR,1616494951,91,-10.8628,-40.1336,69.76,6.13
Antúnez,3,MX,1616494952,40,19.0167,-102.2,64.35,1.45
Jiuquan,84,CN,1616494952,8,39.7432,98.5174,55.98,8.46
Bubaque,98,GW,1616494953,56,11.2833,-15.8333,75.79,10.33
San Luis,0,AR,1616494954,53,-33.295,-66.3356,58.3,9.33
Villa Tecolutilla,0,MX,1616494955,80,18.2833,-93.3167,69.96,7.94
Khāsh,3,IR,1616494955,5,28.2211,61.2158,77.0,8.59
Chicama,99,PE,1616494956,78,-7.8447,-79.1469,71.82,4.76
Atar,0,MR,1616494957,13,20.5169,-13.0499,71.6,9.22
Iwanai,55,JP,1616494958,83,42.9744,140.5089,35.37,7.09
Egvekinot,100,RU,1616494958,97,66.3167,-179.1667,-5.66,3.71
Huercal Overa,5,ES,1616494822,38,37.389,-1.9454,60.66,3.78
Saint-Augustin,88,CA,1616494960,97,51.226,-58.6502,20.34,4.68
Airai,100,TL,1616494961,94,-8.9266,125.4092,62.51,0.78
Longyearbyen,90,SJ,1616494962,74,78.2186,15.6401,23.0,25.32
Ekhabi,100,RU,1616494963,94,53.5102,142.9671,5.32,21.14
Haverfordwest,100,GB,1616494963,88,51.8017,-4.9691,50.0,18.99
Gurupá,100,BR,1616494964,98,-1.405,-51.64,71.51,2.24
Bengkulu,83,ID,1616494965,74,-3.8004,102.2655,81.25,2.24
Aripuanã,100,BR,1616494966,99,-9.1667,-60.6333,69.82,2.77
Luganville,16,VU,1616494966,87,-15.5333,167.1667,77.4,3.22
Conceição do Araguaia,0,BR,1616494967,94,-8.2578,-49.2647,73.4,1.23
Ancud,90,CL,1616494968,100,-41.8697,-73.8203,55.0,4.61
Faanui,36,PF,1616494969,74,-16.4833,-151.75,83.62,17.25
Lompoc,90,US,1616494969,82,34.6391,-120.4579,51.8,11.5
Cape Town,0,ZA,1616494970,37,-33.9258,18.4232,91.99,9.22
Chokurdakh,100,RU,1616494971,90,70.6333,147.9167,-11.61,12.46
Abéché,0,TD,1616494972,16,13.8292,20.8324,102.2,12.91
Tarusan,98,PH,1616494972,73,8.6546,117.5104,82.83,8.1
Trairi,43,BR,1616494759,87,-3.2778,-39.2689,76.6,3.69
Ostrovnoy,100,RU,1616494974,90,68.0531,39.5131,24.84,32.5
Berlevåg,40,NO,1616494974,80,70.8578,29.0864,35.6,27.63
Lazurne,75,UA,1616494975,48,46.084,32.5295,41.0,11.18
Yellowknife,40,CA,1616494976,64,62.456,-114.3525,-14.01,10.36
Port Alfred,40,ZA,1616494977,62,-33.5906,26.891,75.16,18.19
Corinth,98,GR,1616494979,68,37.9407,22.9573,46.99,10.0
Puerto Ayora,19,EC,1616494979,95,-0.7393,-90.3518,75.0,1.95
Gardendale,75,US,1616494980,55,33.6601,-86.8128,63.0,6.91
Hofn,42,IS,1616494981,65,64.2539,-15.2082,35.58,4.16
Puerto Madryn,6,AR,1616494982,32,-42.7692,-65.0385,67.41,11.03
Conde,20,BR,1616494721,100,-7.2597,-34.9075,77.0,5.75
Punta Arenas,75,CL,1616494983,87,-53.15,-70.9167,48.2,8.05
Nome,1,US,1616494984,70,64.5011,-165.4064,-9.4,5.75
Alta Floresta,100,BR,1616494985,98,-9.8756,-56.0861,68.36,2.33
Kaitangata,72,NZ,1616494985,93,-46.2817,169.8464,53.42,1.45
Marsh Harbour,0,BS,1616494986,59,26.5412,-77.0636,67.71,6.44
Norman Wells,20,CA,1616494987,77,65.282,-126.8329,-11.2,9.22
Bairiki Village,75,KI,1616494988,83,1.3292,172.9752,80.6,11.5
Saint-Pierre,40,RE,1616494988,66,-21.3393,55.4781,87.8,10.36
Rabo de Peixe,75,PT,1616494989,82,37.8,-25.5833,59.0,6.91
Vila Franca do Campo,75,PT,1616494990,82,37.7167,-25.4333,59.0,6.91
Tuktoyaktuk,10,CA,1616494991,89,69.4541,-133.0374,-9.53,16.44
Guerrero Negro,69,MX,1616494877,81,27.9769,-114.0611,55.24,14.65
Nanyamba,75,TZ,1616494992,66,-10.6833,39.8333,87.8,9.22
Severo-Kuril'sk,76,RU,1616494993,70,50.6789,156.125,28.33,18.3
Talnakh,100,RU,1616494993,91,69.4865,88.3972,6.28,6.93
Sakakah,13,SA,1616494995,13,29.9697,40.2064,89.6,5.75
Vardø,0,NO,1616494996,86,70.3705,31.1107,32.0,19.57
Kudahuvadhoo,41,MV,1616494997,66,2.6708,72.8944,83.5,3.49
Kirakira,97,SB,1616494998,83,-10.4544,161.9205,80.24,4.45
Beyneu,98,KZ,1616494998,31,45.3167,55.2,51.1,18.3
New Norfolk,55,AU,1616494999,67,-42.7826,147.0587,64.0,1.01
Kutum,45,SD,1616495000,17,14.2,24.6667,93.31,7.11
Caravelas,15,BR,1616495001,82,-17.7125,-39.2481,75.29,2.53
Dikson,40,RU,1616495002,84,73.5069,80.5464,-14.33,5.66
Maniitsoq,70,GL,1616495003,89,65.4167,-52.9,-2.42,13.6
Boma,100,GH,1616495003,71,7.0805,-2.1697,81.07,3.65
Udachny,55,RU,1616495004,85,66.4167,112.4,-7.91,3.89
Nanortalik,0,GL,1616495005,66,60.1432,-45.2371,19.8,12.48
Ribeira Grande,40,PT,1616495006,58,38.5167,-28.7,57.2,14.97
Bredasdorp,1,ZA,1616495006,53,-34.5322,20.0403,77.0,20.71
Yayva,100,RU,1616495007,67,59.3303,57.2641,32.0,3.0
La Rosa,6,HN,1616495008,94,15.35,-87.0667,58.84,3.24
Altay,35,CN,1616495009,62,47.8667,88.1167,44.13,2.91
Mednogorsk,99,RU,1616495010,87,51.4128,57.595,27.37,8.61
Buala,51,SB,1616495011,81,-8.145,159.5921,81.18,6.96
George Town,20,MY,1616494984,83,5.4112,100.3354,81.0,1.59
Denpasar,20,ID,1616494744,74,-8.65,115.2167,84.2,4.61
Leh,79,IN,1616495013,44,34.1667,77.5833,37.18,9.44
Adrar,32,MR,1616495013,11,20.5022,-10.0711,77.86,17.27
Port Blair,55,IN,1616495014,67,11.6667,92.75,85.84,11.61
Oktyabr'skoye,29,RU,1616495015,62,43.0645,44.7417,51.8,6.71
Mar del Plata,90,AR,1616494841,100,-38.0023,-57.5575,60.01,4.61
